Rank,Industry,Sector,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Tickers
1,Silver,Basic Materials,132.94,99,99,93,95,"AYA,NEWP,SVM,AG,EXK,HSLV"
2,Semiconductor Equipment & Materials,Technology,128.67,99,99,99,99,"AXTI,AEHR,TRT,ICHR,FORM,COHU,TER,UCTT,ACMR,LRCX,AMAT,ONTO,KLIC,ASML,ENTG,KLAC,ASYS,VECO,AMKR,Q,CAMT,ACLS,INTT,PLAB,AMBA,ATOM,NVMI,IPGP,DQ,SMTK"
3,Oil & Gas Refining & Marketing,Energy,128.08,98,94,62,87,"PBF,DK,VLO,DINO,PARR,MPC,UGP,PSX,CVI,SUN,WKC,DKL,CAPL,SGU,IEP,APC,CSAN,CLNE,DLXY"
4,Broadcasting,Communication Services,126.89,97,79,35,2,"XHLD,BBGI,MDIA,NMAX,GTN,SBGI,SSP,CAST,NXST,SGA,CURI,IHRT,UONEK,FUBO,UONE"
5,Railroads,Industrials,119.5,97,43,51,41,"SWVL,CSX,WAB,FSTR,UNP,CNI,NSC,CP,TRN,GBX,RAIL,RVSN"
6,Copper,Basic Materials,119.07,96,96,95,91,"ERO,TGB,SCCO,HBM,FCX,TECK,IE"
7,Publishing,Communication Services,116.2,95,75,77,80,"TNMG,WLYB,WLY,LEE,PSO,SCHL,TDAY,EDUC,NYT"
8,Marine Shipping,Industrials,115.73,95,76,72,73,"EDRY,EHLD,GLBS,ECO,HSHP,MATX,SHIP,HAFN,USEA,NMM,SB,CMDB,DAC,ZIM,SBLK,ASC,DSX,GNK,SFL,SMHI,GSL,PANL,KEX,ESEA,GASS,CTRM,CCEC,HMR,CMRE,PSHG,SVRN,VNTG,UFG,ICON,HTCO,NCT,RUBI,CISS"
9,Oil & Gas Midstream,Energy,115.42,94,83,79,88,"TORO,PXS,INSW,NAT,FRO,LPG,NGL,CMBT,BWLP,PBT,DHT,TNK,TEN,TRMD,SUNC,TK,VG,TRGP,PAGP,PAA,STNG,KNTK,EE,ET,WES,SMC,NVGS,FLNG,OKE,LNG,GLNG,CQP,IMPP,EPD,SOBO,GLP,PBA,MPLX,AM,KNOP,WMB,HESM,VNOM,KMI,IMPPP,SBR,TRP,DTM,MARPS,DLNG,GEL,BANL,ENB,MMLP,TMDE,TOPS,RBNE"
10,Banks - Diversified,Financial Services,114.86,93,93,86,76,"ING,BBVA,HSBC,BNY,MUFG,SMFG,SAN,UBS,BNS,TD,BMO,RY,BAC,C,CM,JPM,NTB,BCS,WFC"
11,Healthcare Plans,Healthcare,114.86,93,95,93,13,"OSCR,CNC,HUM,CLOV,ELV,PGNY,MOH,CVS,UNH,CI,ALHC"
12,Diagnostics & Research,Healthcare,113.35,92,90,56,56,"CDNA,PSNL,BDSX,NEO,GH,ADVB,ADPT,NTRA,CRL,ILMN,GRAL,XGN,IQV,NDRA,CSTL,FRNM,RVTY,TMO,MEDP,WAT,DGX,SHC,LH,ICLR,RDNT,A,PRPO,OPK,VCYT,QUCY,BLLN,MTD,DHR,BNR,FLGT,QGEN,WGS,IMDX,XWEL,IDXX,MYGN,MDXH,BIAF,ISPC"
13,Financial Conglomerates,Financial Services,112.72,91,87,98,97,"RILYL,RILYP,VOYA,IX,FRHC,HTH,RILY,TMS"
