Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
1,OPTT,Industrials,Specialty Industrial Machinery,NYSE ARCA,544.67,99,5,14,33,2.01,18999764.13537693,9004628.0,0.1369,-37.77,469800,5219006,5605094,0.441
2,SNDK,Technology,Computer Hardware,NASDAQ,544.15,99,99,99,99,1777.8,262356486507.5182,146419001.0,0.0643,-24.49,9680450,11567186,13648066,3.716
3,IPDN,Industrials,Staffing & Employment Services,NASDAQ,509.71,99,0,4,12,4.5,1628068.315123558,481677.0,0.0226,-11.24,6408990,21035713,12665550,-0.28
4,BRTX,Healthcare,Biotechnology,NASDAQ,469.17,99,5,14,2,2.55,3715234.399028778,1381128.0,0.0015,-12.22,29380,258140,309402,-0.073
5,MPU,Communication Services,Entertainment,NYSE ARCA,468.37,99,3,3,22,2.78,10709871.174245358,3399959.0,0.0164,-28.35,50000,147830,180418,-0.492
6,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,451.72,99,99,99,99,78.94,4592091956.314575,65573212.0,0.1464,-44.86,9217990,9166716,10302946,1.648
7,ANL,Healthcare,Biotechnology,NASDAQ,427.02,99,99,99,99,15.53,1013623529.3804817,64397938.0,0.0708,-9.97,141080,161853,177574,
8,MRNA,Healthcare,Biotechnology,NASDAQ,424.75,99,99,96,92,198.88,61498293661.143265,399235889.0,0.119799994,12.58,16090280,28168573,19066494,0.021
9,TNMG,Communication Services,Publishing,NASDAQ,402.56,99,4,1,5,4.39,23547327.773674965,6084581.0,0.0067000003,-64.25,4300280,8310550,11064226,0.057
10,SVRN,Industrials,Marine Shipping,NASDAQ,398.68,99,13,9,2,47.26,38116580.54754639,1875816.0,0.0022,-0.63,270650,145000,92336,-0.374
11,BVC,Technology,Software - Application,NASDAQ,387.25,99,99,99,99,11.35,2380560012.817383,168000000.0,0.0001,-36.94,32310,39496,46392,
12,BURU,Industrials,Specialty Industrial Machinery,NYSE ARCA,384.31,99,0,4,1,0.99,9540215.085002184,9262345.0,0.1339,-49.23,1723880,3500920,11601576,
13,TXG,Healthcare,Medical Devices,NASDAQ,379.35,99,99,97,94,85.71,9980303269.991455,130291168.0,0.18190001,7.22,3365940,2873276,2954640,-0.127
14,RFAIU,Financial Services,Shell Companies,NASDAQ,379.3,99,99,46,52,46.5,,,0.06,-12.16,640,353,222,
15,TWST,Healthcare,Biotechnology,NASDAQ,357.66,99,99,97,89,182.83,11071633410.463226,66301174.0,0.22950001,9.45,2486380,1893813,1752524,0.232
16,QMCO,Technology,Computer Hardware,NASDAQ,350.63,99,99,91,15,31.68,988796931.1034889,39410001.0,0.0465,13.96,2124980,1574833,1779242,0.257
17,DKI,Communication Services,Electronic Gaming & Multimedia,NASDAQ,334.34,99,99,99,7,2.73,5768364.25,2097587.0,0.0085,-76.86,88640,65080,289802,0.139
18,MXL,Technology,Semiconductors,NASDAQ,328.79,99,99,99,80,93.84,7357031903.016289,90693191.0,0.069299996,-26.86,3371710,2661430,3150660,0.552
19,BUUU,Industrials,Specialty Business Services,NASDAQ,316.25,99,99,97,98,44.2,772143750.0,16695000.0,0.0019,-8.13,82160,80543,81700,0.123
20,WCT,Technology,Software - Application,NASDAQ,314.98,99,3,1,3,7.93,436889132.70187473,56155414.0,0.0022,-68.28,1248150,1336170,1484444,-0.879
21,IOVA,Healthcare,Biotechnology,NASDAQ,313.81,99,99,89,87,11.0,4642957178.0,452971432.0,0.20809999,0.18,16854960,15283310,16482806,0.657
22,AGL,Healthcare,Medical Care Facilities,NYSE,304.7,99,99,99,8,80.73,1497104345.0912476,16791210.0,0.1026,-39.32,256620,221510,297492,0.072
23,IGR,Financial Services,Asset Management,NYSE,297.19,99,81,77,74,11.89,624743590.6972275,50586524.0,2.27,-10.67,346363,447077,471458,-0.231
24,SAIH,Technology,Information Technology Services,NASDAQ,283.33,99,99,83,76,30.55,47438878.87930298,1837292.0,0.0027,7.53,17900,19853,16042,-0.705
25,CDNA,Healthcare,Diagnostics & Research,NASDAQ,278.52,99,99,91,44,63.68,2784853318.8181915,51734223.0,0.1148,15.45,1426990,1229366,1221590,0.522
26,MU,Technology,Semiconductors,NASDAQ,277.77,99,99,99,98,1082.28,1147237548999.2625,1129393151.0,0.026400002,-13.76,24756190,25644276,32887046,3.457
27,SLS,Healthcare,Biotechnology,NASDAQ,275.04,99,99,99,96,11.61,2259308230.2543755,196632574.0,0.288,-26.89,6491970,7215720,6842552,
28,RFAI,Financial Services,Shell Companies,NASDAQ,267.82,99,99,45,56,32.75,337922482.5,8343765.0,0.0081,-55.14,17940,150656,105198,
29,NWGL,Basic Materials,Lumber & Wood Production,NASDAQ,265.61,99,20,2,15,1.42,37797641.87900877,28853163.0,0.049200002,-28.28,1242710,1375440,2085864,-0.119
30,DELL,Technology,Computer Hardware,NYSE,263.12,99,99,98,90,562.89,361179789212.7228,635812750.0,0.048800003,-5.48,9563970,9075753,7862180,0.577
31,VNCE,Consumer Cyclical,Apparel Manufacturing,NASDAQ,261.61,99,99,98,35,11.5,138508811.83098507,12944749.0,0.0115,2.22,941530,416066,278648,0.117
32,ERAS,Healthcare,Biotechnology,NASDAQ,258.65,99,99,99,99,14.25,5165985417.058353,349762035.0,0.0988,-41.31,5220060,4289846,3965240,
33,ASBP,Consumer Cyclical,Auto Parts,NASDAQ,258.29,99,98,98,1,8.32,11977836.726496696,1402557.0,0.0311,-55.65,34660,33310,37722,
34,EDRY,Industrials,Marine Shipping,NASDAQ,256.26,99,99,89,94,48.16,218694878.73861694,3179629.0,0.0887,-34.09,238800,181240,162014,0.57
35,HLP,Basic Materials,Steel,NASDAQ,254.9,99,94,9,28,2.21,150972273.57447147,74738750.0,0.006,4.49,188990,101013,96614,0.402
36,CPOP,Communication Services,Entertainment,NASDAQ,253.77,99,0,1,10,5.08,4144873.484647274,1008485.0,0.0484,-80.54,1129360,953426,4281244,0.648
37,RCEL,Healthcare,Medical Devices,NASDAQ,253.64,99,98,62,28,11.84,340813868.09718704,30926847.0,0.0959,3.95,327350,350483,466152,0.178
38,OESX,Industrials,Electrical Equipment & Parts,NASDAQ,247.05,99,99,83,62,30.59,112455365.0,4089286.0,0.0327,-1.32,65750,90076,90934,0.315
39,AGPU,Technology,Software - Infrastructure,NASDAQ,246.48,99,98,73,6,12.09,140600335.44649887,11591124.0,0.0525,-62.34,430550,415873,502114,1197.729
40,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,240.6,99,98,99,99,104.39,3053340885.7716827,32659546.0,0.14039999,-29.18,2314840,2667640,2722514,0.337
41,BAND,Technology,Software - Infrastructure,NASDAQ,237.49,99,98,99,80,61.81,1616440966.5088043,32180788.0,0.147,-21.84,1071400,881890,1043998,0.222
42,TTRX,Healthcare,Biotechnology,NASDAQ,235.11,99,98,91,11,12.49,453693485.0172043,30367704.0,2.64,-52.87,222860,131620,109284,
43,TOP,Financial Services,Capital Markets,NASDAQ,234.92,99,99,94,18,15.47,1881560857.4489908,123705513.0,0.0016,-11.19,88430,108280,108247,-0.193
